"","Predator","Predator_Size","Median_N","Max_N","Min_N","name"
"144","Fish",199526.231496888,238.573312358697,240.071291486868,237.606130119161,"Fish"
"145","Fish",251188.643150957,301.581236503699,303.331502050233,300.331265973903,"Fish"
"146","Fish",316227.766016838,379.937942238336,382.258512332859,378.513899518287,"Fish"
"147","Fish",398107.170553499,477.220926335284,480.345593455794,475.55522182608,"Fish"
"148","Fish",501187.233627271,597.599269932785,601.77049286373,595.515061110976,"Fish"
"149","Fish",630957.344480194,745.890522345191,751.517388762254,743.232939542792,"Fish"
"150","Fish",794328.234724279,927.907673633732,935.52007488652,924.472376678084,"Fish"
"151","Inactive Cephs",0.01,2.8383778136953e-07,4.65887921522061e-07,1.69395779446804e-07,"Low Activity"
"152","Inactive Cephs",0.0125892541179417,3.64727603409391e-07,6.11603248745159e-07,2.12372036230071e-07,"Low Activity"
"153","Inactive Cephs",0.0158489319246111,4.49260917546823e-07,7.70553216683497e-07,2.56240909327314e-07,"Low Activity"
"154","Inactive Cephs",0.0199526231496888,5.43627138372244e-07,9.50225761986614e-07,3.05386540872061e-07,"Low Activity"
"155","Inactive Cephs",0.0251188643150958,6.54737727664918e-07,1.16033480948604e-06,3.64213719289633e-07,"Low Activity"
"156","Inactive Cephs",0.0316227766016838,7.89245867168081e-07,1.41087297213517e-06,4.36868524161867e-07,"Low Activity"
"157","Inactive Cephs",0.0398107170553497,9.53826532418047e-07,1.71179343920782e-06,5.27687968579822e-07,"Low Activity"
"158","Inactive Cephs",0.0501187233627271,1.15546846635983e-06,2.0728071339854e-06,6.41596503528645e-07,"Low Activity"
"159","Inactive Cephs",0.0630957344480194,1.40159764814661e-06,2.50290537361987e-06,7.84426055385595e-07,"Low Activity"
"160","Inactive Cephs",0.0794328234724282,1.700033871799e-06,3.00956191772705e-06,9.63190753999712e-07,"Low Activity"
"161","Inactive Cephs",0.1,2.05882853157472e-06,3.59775430567527e-06,1.18633422722963e-06,"Low Activity"
"162","Inactive Cephs",0.125892541179417,2.48608915870327e-06,4.26914228968637e-06,1.46396568331533e-06,"Low Activity"
"163","Inactive Cephs",0.158489319246111,2.98998399092557e-06,5.0219305451694e-06,1.80811719705481e-06,"Low Activity"
"164","Inactive Cephs",0.199526231496888,3.59023395966671e-06,5.85199066528047e-06,2.23307714974859e-06,"Low Activity"
"165","Inactive Cephs",0.251188643150958,4.29270834112178e-06,6.75557091678666e-06,2.75585311870624e-06,"Low Activity"
"166","Inactive Cephs",0.316227766016838,5.08484419890231e-06,7.73337408458033e-06,3.39674593559285e-06,"Low Activity"
"167","Inactive Cephs",0.398107170553497,5.99742415243507e-06,8.81163673294471e-06,4.16317291572399e-06,"Low Activity"
"168","Inactive Cephs",0.501187233627271,7.10244930586863e-06,1.00101980747406e-05,5.08487292313505e-06,"Low Activity"
"169","Inactive Cephs",0.630957344480194,8.37905843873917e-06,1.13661754170554e-05,6.20380946566247e-06,"Low Activity"
"170","Inactive Cephs",0.794328234724282,9.88469858793384e-06,1.29872289548453e-05,7.5520583520247e-06,"Low Activity"
"171","Inactive Cephs",1,1.17233702341478e-05,1.4893819347437e-05,9.15481251945895e-06,"Low Activity"
"172","Inactive Cephs",1.25892541179417,1.39198744350669e-05,1.71629428303454e-05,1.10214776030351e-05,"Low Activity"
"173","Inactive Cephs",1.58489319246111,1.64732514531692e-05,1.9869579673183e-05,1.31363661625132e-05,"Low Activity"
"174","Inactive Cephs",1.99526231496888,1.9362160034273e-05,2.30671155855507e-05,1.54529899834574e-05,"Low Activity"
"175","Inactive Cephs",2.51188643150958,2.25129947985862e-05,2.67595622061013e-05,1.78969416863865e-05,"Low Activity"
"176","Inactive Cephs",3.16227766016838,2.58490863298186e-05,3.08721042995333e-05,2.03803579995662e-05,"Low Activity"
"177","Inactive Cephs",3.98107170553497,2.92322845568796e-05,3.52360922310654e-05,2.28254552052005e-05,"Low Activity"
"178","Inactive Cephs",5.01187233627271,3.24743164952799e-05,3.96093401118125e-05,2.51886753884883e-05,"Low Activity"
"179","Inactive Cephs",6.30957344480194,3.54738165186403e-05,4.37401970616674e-05,2.7475557044861e-05,"Low Activity"
"180","Inactive Cephs",7.94328234724282,3.82023810156623e-05,4.74541710626006e-05,2.97168731710932e-05,"Low Activity"
"181","Inactive Cephs",10,4.07732458414342e-05,5.07245141405469e-05,3.20240001232071e-05,"Low Activity"
"182","Inactive Cephs",12.5892541179417,4.3353720889489e-05,5.36603223502374e-05,3.45107795191677e-05,"Low Activity"
"183","Inactive Cephs",15.8489319246111,4.61106920442762e-05,5.65150303783063e-05,3.72847466235975e-05,"Low Activity"
