"","Predator","Predator_Size_Class","Predator_Size","Median_RTP","Max_RTP","Min_RTP","Func_Group"
"192","Fish",8,2.51188643150957e-12,NA,NA,NA,"Fish"
"193","Fish",9,3.16227766016838e-12,NA,NA,NA,"Fish"
"194","Fish",10,3.98107170553497e-12,NA,NA,NA,"Fish"
"195","Fish",11,5.01187233627271e-12,NA,NA,NA,"Fish"
"196","Fish",12,6.30957344480192e-12,NA,NA,NA,"Fish"
"197","Fish",13,7.94328234724279e-12,NA,NA,NA,"Fish"
"198","Fish",14,1e-11,NA,NA,NA,"Fish"
"199","Fish",15,1.25892541179417e-11,NA,NA,NA,"Fish"
"200","Fish",16,1.58489319246111e-11,NA,NA,NA,"Fish"
"201","Fish",17,1.99526231496887e-11,NA,NA,NA,"Fish"
"202","Fish",18,2.51188643150957e-11,NA,NA,NA,"Fish"
"203","Fish",19,3.16227766016838e-11,NA,NA,NA,"Fish"
"204","Fish",20,3.98107170553497e-11,NA,NA,NA,"Fish"
"205","Fish",21,5.01187233627271e-11,NA,NA,NA,"Fish"
"206","Fish",22,6.30957344480192e-11,NA,NA,NA,"Fish"
"207","Fish",23,7.94328234724279e-11,NA,NA,NA,"Fish"
"208","Fish",24,1e-10,NA,NA,NA,"Fish"
"209","Fish",25,1.25892541179417e-10,NA,NA,NA,"Fish"
"210","Fish",26,1.58489319246111e-10,NA,NA,NA,"Fish"
"211","Fish",27,1.99526231496887e-10,NA,NA,NA,"Fish"
"212","Fish",28,2.51188643150957e-10,NA,NA,NA,"Fish"
"213","Fish",29,3.16227766016838e-10,NA,NA,NA,"Fish"
"214","Fish",30,3.98107170553497e-10,NA,NA,NA,"Fish"
"215","Fish",31,5.01187233627271e-10,NA,NA,NA,"Fish"
"216","Fish",32,6.30957344480192e-10,NA,NA,NA,"Fish"
"217","Fish",33,7.94328234724279e-10,NA,NA,NA,"Fish"
"218","Fish",34,1e-09,NA,NA,NA,"Fish"
"219","Fish",35,1.25892541179417e-09,NA,NA,NA,"Fish"
"220","Fish",36,1.58489319246111e-09,NA,NA,NA,"Fish"
"221","Fish",37,1.99526231496887e-09,NA,NA,NA,"Fish"
"222","Fish",38,2.51188643150957e-09,NA,NA,NA,"Fish"
"223","Fish",39,3.16227766016838e-09,NA,NA,NA,"Fish"
"224","Fish",40,3.98107170553497e-09,NA,NA,NA,"Fish"
"225","Fish",41,5.01187233627271e-09,NA,NA,NA,"Fish"
"226","Fish",42,6.30957344480194e-09,NA,NA,NA,"Fish"
"227","Fish",43,7.94328234724279e-09,NA,NA,NA,"Fish"
"228","Fish",44,1e-08,NA,NA,NA,"Fish"
"229","Fish",45,1.25892541179417e-08,NA,NA,NA,"Fish"
"230","Fish",46,1.58489319246111e-08,NA,NA,NA,"Fish"
"231","Fish",47,1.99526231496888e-08,NA,NA,NA,"Fish"
"232","Fish",48,2.51188643150958e-08,NA,NA,NA,"Fish"
"233","Fish",49,3.16227766016838e-08,NA,NA,NA,"Fish"
"234","Fish",50,3.98107170553497e-08,NA,NA,NA,"Fish"
"235","Fish",51,5.01187233627271e-08,NA,NA,NA,"Fish"
"236","Fish",52,6.30957344480193e-08,NA,NA,NA,"Fish"
"237","Fish",53,7.9432823472428e-08,NA,NA,NA,"Fish"
"238","Fish",54,1e-07,NA,NA,NA,"Fish"
"239","Fish",55,1.25892541179417e-07,NA,NA,NA,"Fish"
"240","Fish",56,1.58489319246111e-07,NA,NA,NA,"Fish"
"241","Fish",57,1.99526231496888e-07,NA,NA,NA,"Fish"
"242","Fish",58,2.51188643150958e-07,NA,NA,NA,"Fish"
"243","Fish",59,3.16227766016838e-07,NA,NA,NA,"Fish"
"244","Fish",60,3.98107170553497e-07,NA,NA,NA,"Fish"
"245","Fish",61,5.01187233627271e-07,NA,NA,NA,"Fish"
"246","Fish",62,6.30957344480193e-07,NA,NA,NA,"Fish"
"247","Fish",63,7.94328234724281e-07,NA,NA,NA,"Fish"
"248","Fish",64,1e-06,NA,NA,NA,"Fish"
"249","Fish",65,1.25892541179417e-06,NA,NA,NA,"Fish"
"250","Fish",66,1.58489319246111e-06,NA,NA,NA,"Fish"
"251","Fish",67,1.99526231496888e-06,NA,NA,NA,"Fish"
"252","Fish",68,2.51188643150958e-06,NA,NA,NA,"Fish"
"253","Fish",69,3.16227766016838e-06,NA,NA,NA,"Fish"
"254","Fish",70,3.98107170553497e-06,NA,NA,NA,"Fish"
"255","Fish",71,5.01187233627271e-06,NA,NA,NA,"Fish"
"256","Fish",72,6.30957344480193e-06,NA,NA,NA,"Fish"
"257","Fish",73,7.9432823472428e-06,NA,NA,NA,"Fish"
"258","Fish",74,1e-05,NA,NA,NA,"Fish"
"259","Fish",75,1.25892541179417e-05,NA,NA,NA,"Fish"
"260","Fish",76,1.58489319246111e-05,NA,NA,NA,"Fish"
"261","Fish",77,1.99526231496888e-05,NA,NA,NA,"Fish"
"262","Fish",78,2.51188643150958e-05,NA,NA,NA,"Fish"
"263","Fish",79,3.16227766016838e-05,NA,NA,NA,"Fish"
"264","Fish",80,3.98107170553497e-05,NA,NA,NA,"Fish"
